name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Klaesson,LEE,GKP,3.9,Available,0,0,0,0.0,0.5
Greenwood,LEE,FWD,4.2,Available,184,15,1,2.5,11.5
Meslier,LEE,GKP,4.5,Available,1260,44,5,3.1,2.3
Firpo,LEE,DEF,4.5,Available,113,2,0,1.0,0.0
Summerville,LEE,MID,4.4,Available,467,40,4,4.0,1.4
Bate,LEE,MID,4.5,NotAvail,0,0,0,0.0,0.0
Gelhardt,LEE,FWD,5.1,Available,161,13,0,1.2,0.2
Hjelde,LEE,DEF,3.9,Available,0,0,0,0.0,0.2
Kristensen,LEE,DEF,4.8,Available,1048,25,0,2.1,0.4
Roca,LEE,MID,4.8,Available,1032,31,1,2.2,0.1
Aaronson,LEE,MID,5.5,Available,1190,42,0,3.0,0.9
Gyabi,LEE,MID,4.3,Available,0,0,0,0.0,0.1
Adams,LEE,MID,4.9,Suspended,1166,23,0,1.8,0.2
Sinisterra,LEE,MID,6.5,Doubtful,450,22,3,2.4,0.3
Drameh,LEE,DEF,4.0,Available,70,1,0,1.0,0.2
Gray,LEE,MID,4.5,Injured,0,0,0,0.0,0.0
Robles,LEE,GKP,4.0,Available,0,0,0,0.0,0.1
Gnonto,LEE,FWD,5.0,Available,108,6,0,2.0,0.1
Mateo Joseph,LEE,FWD,4.5,Available,1,1,0,1.0,0.0
Perkins,LEE,FWD,4.5,Available,0,0,0,0.0,0.0
Milner,LIV,MID,4.4,Available,460,20,0,1.7,0.8
Henderson,LIV,MID,5.3,Available,642,19,0,1.6,0.5
Matip,LIV,DEF,5.9,Available,258,4,0,1.0,0.7
Thiago,LIV,MID,5.2,Available,645,14,0,1.8,0.8
Chamberlain,LIV,MID,4.9,Available,30,3,0,1.0,0.0
Firmino,LIV,FWD,8.1,Available,928,69,9,5.3,7.8
Van Dijk,LIV,DEF,6.5,Available,1260,47,3,3.4,14.1
Alisson,LIV,GKP,5.5,Available,1260,65,7,4.6,16.0
Fabinho,LIV,MID,5.3,Available,994,25,0,1.8,0.9
Salah,LIV,MID,12.8,Available,1237,82,8,5.9,32.2
Robertson,LIV,DEF,6.8,Available,859,43,4,3.6,5.1
Alexander-Arnold,LIV,DEF,7.2,Available,988,40,5,2.9,18.4
Gomez,LIV,DEF,4.5,Available,885,38,5,3.2,2.0
Keita,LIV,MID,4.7,Available,0,0,0,0.0,0.0
Diogo Jota,LIV,FWD,8.8,Doubtful,195,8,0,2.0,0.3
Kelleher,LIV,GKP,4.0,Available,0,0,0,0.0,0.2
Konaté,LIV,DEF,4.8,Available,111,3,0,1.5,0.7
Jones,LIV,MID,4.9,Available,169,5,0,1.2,0.0
Tsimikas,LIV,DEF,4.5,Available,363,22,0,2.2,0.4
Luis Díaz,LIV,MID,7.8,Doubtful,613,39,4,4.9,7.0
Elliott,LIV,MID,5.0,Available,855,34,2,2.4,0.8
Carvalho,LIV,MID,5.4,Available,331,25,0,2.3,0.4
Darwin,LIV,FWD,9.0,Available,601,44,6,4.4,12.1
Ramsay,LIV,DEF,3.9,Available,0,0,0,0.0,0.2
Adrián,LIV,GKP,3.9,Available,0,0,0,0.0,0.7
R.Williams,LIV,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Davies,LIV,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Van den Berg,LIV,DEF,4.0,NotAvail,0,0,0,0.0,0.2
Phillips,LIV,DEF,3.9,Available,65,3,0,1.5,0.4
Chambers,LIV,DEF,4.0,Available,0,0,0,0.0,0.1
Bajcetic,LIV,MID,4.4,Available,20,1,0,1.0,0.0
Clark,LIV,MID,4.5,Available,7,1,0,1.0,0.0
H.Davies,LIV,GKP,4.0,Available,0,0,0,0.0,0.0
Arthur,LIV,MID,4.8,Injured,0,0,0,0.0,0.0
Doak,LIV,MID,4.5,Available,0,0,0,0.0,0.0
Walker,MCI,DEF,4.8,Available,560,23,0,3.3,3.2
Gündogan,MCI,MID,7.3,Available,890,45,3,3.8,2.1
De Bruyne,MCI,MID,12.6,Available,1130,90,13,6.4,37.7
Stones,MCI,DEF,5.4,Available,730,32,3,3.6,1.6
Mahrez,MCI,MID,7.5,Available,368,22,0,2.4,1.4
